"COMMISSIONE","NOMI","ATTO","DATA"
"8 (Lavori pubblici)","Organizzazioni sindacali","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-13
"8 (Lavori pubblici)","Corrado Gisonni, Commissario Straordinario per la sicurezza del sistema idrico del Gran Sasso","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-13
"8 (Lavori pubblici)","Marco Corsini, Commissario per la messa in sicurezza delle autostrade A24 e A25","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-13
"8 (Lavori pubblici)","Sergio Fiorentino, Commissario ad acta per l'aggiornamento del Piano Economico Finanziario Autostrada A24/A25","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-13
"8 (Lavori pubblici)","Ministro delle infrastrutture e della mobilità sostenibili","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-12
"8 (Lavori pubblici)","Comitato Sindaci e Amministratori di Lazio e Abruzzo per la sicurezza e contro il caro pedaggi A24 A25","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-12
"8 (Lavori pubblici)","Strada dei Parchi S.p.A.","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-12
"8 (Lavori pubblici)","CONFERENZA DELLE REGIONI E DELLE PROVINCE AUTONOME","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-08
"8 (Lavori pubblici)","Ministro delle infrastrutture e delle mobilità sostenibili","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","Assaeroporti","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","Consiglio Superiore dei Lavori Pubblici","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","ENAC","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","Aeroporti 2030","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","ANCE","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","Presidente dell'AdSP Mare Adriatico Settentrionale","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","Sindaco di Venezia","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","Assessore infrastrutture","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
"8 (Lavori pubblici)","trasporti della Regione Veneto","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)",2022-07-05
