"COMMISSIONE","NOMI","ATTO","DATA"
"12 (Sanita') ; 13 (Ambiente)","FEDERMEP","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-20
"12 (Sanita') ; 13 (Ambiente)","AISAD","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-20
"12 (Sanita') ; 13 (Ambiente)","Associazione italiana aracnologia","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-20
"12 (Sanita') ; 13 (Ambiente)","ENCI","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-20
"12 (Sanita') ; 13 (Ambiente)","AIPA","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-20
"12 (Sanita') ; 13 (Ambiente)","FIDC","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-15
"12 (Sanita') ; 13 (Ambiente)","ASSALCO","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-15
"12 (Sanita') ; 13 (Ambiente)","FOI","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-15
"12 (Sanita') ; 13 (Ambiente)","LAV","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-15
"12 (Sanita') ; 13 (Ambiente)","WWF-Lipu-Legambiente","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-15
"12 (Sanita') ; 13 (Ambiente)","ANMVI","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-14
"12 (Sanita') ; 13 (Ambiente)","SIVAE","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-14
"12 (Sanita') ; 13 (Ambiente)","FNOVI","Audizioni AG n. 383 (fauna selvatica ed esotica)",2020-06-14
"13 (Ambiente)","Orellana","ddl 2392 e abbinati",2020-05-26
"13 (Ambiente)","Federchimica","ddl 2392 e abbinati",2020-04-28
"13 (Ambiente)","ARPA Valle d'Aosta","AA n. 1094 (scioglimento ghiacciai alpini)",2020-04-13
"13 (Ambiente)","Fondazione Montagna sicura","AA n. 1094 (scioglimento ghiacciai alpini)",2020-04-13
"13 (Ambiente)","Comitato Glaciologico Italiano","AA n. 1094 (scioglimento ghiacciai alpini)",2020-04-13
"13 (Ambiente)","ANBI Veneto","ddl 2392 e abbinati",2020-04-12
"13 (Ambiente)","Medicina Democratica","ddl 2392 e abbinati",2020-04-12
"13 (Ambiente)","Regione Lombardia","ddl 2392 e abbinati",2020-04-12
"13 (Ambiente)","Coordinamento Agrinsieme","ddl 2392 e abbinati",2020-04-12
"13 (Ambiente)","Arpa Veneto","ddl 2392 e abbinati",2020-04-05
"13 (Ambiente)","Arpa Lombardia","ddl 2392 e abbinati",2020-04-05
"13 (Ambiente)","Arpa Piemonte","ddl 2392 e abbinati",2020-04-05
"13 (Ambiente)","Regione Emilia Romagna","ddl 2392 e abbinati",2020-04-05
"13 (Ambiente)","regione Piemonte","ddl 2392 e abbinati",2020-04-05
"13 (Ambiente)","Regione Veneto","ddl 2392 e abbinati",2020-04-05
"13 (Ambiente)","Mamme no PFAS","ddl 2392 e abbinati",2020-03-29
"13 (Ambiente)","Medici per l'ambiente ISDE","ddl 2392 e abbinati",2020-03-29
"13 (Ambiente)","Istituto Superiore di Sanità","ddl 2392 e abbinati",2020-03-28
"13 (Ambiente)","IRSA CNR","ddl 2392 e abbinati",2020-03-28
"5 (Bilancio) ; 10 (Industria) ; 13 (Ambiente) ; 14 (Unione europea)","Ministro della transizione ecologica, Roberto Cingolani","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""",2020-03-10
"13 (Ambiente)","Conferenza delle Regioni e delle Province autonome","ddl 1131 (Rigenerazione urbana)",2020-11-19
"10 (Industria) ; 13 (Ambiente)","Alleanza per il fotovoltaico in Italia su schema di parere","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-10-21
"10 (Industria) ; 13 (Ambiente)","ANCE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-10-12
"10 (Industria) ; 13 (Ambiente)","CESI","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-10-12
"10 (Industria) ; 13 (Ambiente)","ERG SpA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-10-08
"10 (Industria) ; 13 (Ambiente)","ENEA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-10-04
"10 (Industria) ; 13 (Ambiente)","ENI","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-30
"10 (Industria) ; 13 (Ambiente)","Assocostieri","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-30
"10 (Industria) ; 13 (Ambiente)","Confagricoltura","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-28
"10 (Industria) ; 13 (Ambiente)","Illumia SpA","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-28
"10 (Industria) ; 13 (Ambiente)","Confindustria","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-28
"10 (Industria) ; 13 (Ambiente)","Agrinsieme","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-28
"10 (Industria) ; 13 (Ambiente)","Federdistribuzione","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-28
"10 (Industria) ; 13 (Ambiente)","Direzione mare e coste del MITE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-27
"10 (Industria) ; 13 (Ambiente)","Confcommercio","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-27
