"COMMISSIONE","NOMI","ATTO","DATA"
"1 (Aff. costituzionali)","Prof.ssa DI PORTO (245 Kb)                                                              Prof. DI MARTIN (3365 Kb)","Audizioni informali sull'affare assegnato n. 1144 (Metaverso e le sue implicazioni per l'ordinamento giuridico)","14 Luglio 2022"
"1 (Aff. costituzionali)","prof. CELOTTO (326 Kb)","Audizioni informali sull'affare assegnato n. 1144 (Metaverso e le sue implicazioni per l'ordinamento giuridico)"," 6 Luglio 2022"
"1ª (Aff. costituzionali) e 7ª (Pubbl. istruzione)","Ministro dell'università e della ricerca (298 Kb)","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)","26 Maggio 2022"
"1ª (Aff. costituzionali) e 7ª (Pubbl. istruzione)","dottor Paolo de Rosa ; professor Michele Belletti","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)","24 Maggio 2022"
"1ª (Aff. costituzionali) e 7ª (Pubbl. istruzione)","Conferenza delle Regioni e delle Province autonome ; UPI ; ANPCI ; Confcommercio ; Confprofessioni ; ANCE ; OICE ; FINCO ; Fondazione Italia Digitale ; AGDP ; CODIRP ; ANMIL ; Comitato NO riforma Concorsi PA ; Save the Children","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)","20 Maggio 2022"
"1ª (Aff. costituzionali) e 7ª (Pubbl. istruzione)","AGE ; APEI ; ANCODIS ; CNAM ; ANFIS ; SIPED ; CIDI ; prof. Eugenio Prosperetti","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)","19 Maggio 2022"
"1ª (Aff. costituzionali) e 7ª (Pubbl. istruzione)","CIGIL ; CISL ; UIL ; SNALS-Confsal ; FGU-Federazione Gilda Unams","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)","18 Maggio 2022"
"1ª (Aff. costituzionali) e 7ª (Pubbl. istruzione)","WWF ; ISPRA ; COMIECO","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)","18 Maggio 2022"
"1ª (Aff. costituzionali) e 7ª (Pubbl. istruzione)","ANIEF ; ANP ; AND ; UDIR ; DISAL ; ANDIS ; ADI ; INDIRE ; INVALSI ; CUN ; CNR ; CUNSF ; Fondazione Agnelli ; FIDAE ; Consulte provinciali studenti ; CNSU","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)","17 Maggio 2022"
"1 (Aff. costituzionali)","Guardia di Finanza - Gen. Cosimo Di Gesù (294 Kb)                                                              Arma dei Carabinieri - Gen. Giuseppe De Riggi (1831 Kb)","Audizioni informali sull'affare assegnato n. 915 (declassificazione di documenti coperti da segreto di Stato)","12 Maggio 2022"
