"nome","nome_esteso","tipologia","ambito_interesse"
"ANCE","Associazione Nazionale Costruttori Edili","Federazione di Settore","Edilizia ed installazioni"
"ANIE","Federazione Nazionale Imprese delle Elettrotecniche ed Elettroniche (ANIE)","Federazione di Settore","Elettrotecnica ed elettronica"
"ANIE","ANIE AICE - Ass. Italiana Industrie Cavi e Conduttori Elettrici","Associazione di Sottosettore","Cavi Energia per Bassa Tensione, Cavi Energia per Media e Alta Tensione, Cavi per Comunicazione, Conduttori per avvolgimento, Accessori per Cavi Energia"
"ANIE","ANIE ASSIFER - Associazione Industrie ferroviarie","Associazione di Sottosettore","Locomotive; Elettrotreni; Filobus; Tram; Metropolitane;Apparecchiature e sistemi di segnalamento e automa-zione per il traffico ferroviario; Impianti di elettrificazione."
"ANIE","ANIE AssoAscensori - Associazione Nazionale Ascensori e Scale mobili","Associazione di Sottosettore","Produzione, installazione e manutenzione di ascensorie montacarichi (elettrici e idraulici), scale e marciapiedimobili."
"ANIE","ANIE Automazione","Associazione di Sottosettore","Supervisione, regolazione e automazione dei processiindustriali e dell’industria manifatturiera; Telecontrolloper reti di pubblica utilità; Strumentazione di rileva-mento misura e analisi; Gruppi statici di continuità."
"ANIE","ANIE Componenti Elettronici","Associazione di Sottosettore","Semiconduttori discreti; Circuiti integrati; Circuiti ibridi;Condensatori; Resistori; Induttori; Connettori; Relé elettronici in miniatura; Strumentazione Industriale."
"ANIE","ANIE CSI - Associazione Componenti e Sistemi per Impianti","Associazione di Sottosettore","Componenti per l'installazione; Apparecchi di protezione; Canalizzazioni; Citofonia, Videocitofonia e TV.CC.;Ventilazione forzata; Rilevatori di gas; Domotica ed Automazione di Edificio; SPD-Limitatori di Sovratensione; Strumenti di misura elettrici ed elettronici; Batterie avviamento; Batterie industriali; Pile; Contatori e Gruppi integrati; Static Smart Gas Meters."
"ANIE","ANIE Energia","Associazione di Sottosettore","Grandi componenti e impianti per la produzione del-l'energia elettrica; Apparecchiature industriali di alta tensione; Isolatori emateriali isolanti; Trasformatori di misura;Trasformatori di grande potenza > 40 MVA;Morsetterie; Costruttori di elettrodotti di alta tensione;Costruttori di stazioni elettriche di alta tensione. Apparecchiature industriali di media tensione; Quadrielettrici di media e bassa tensione; Trasformatori dimedia e piccola potenza; Macchine rotanti MT/BT eazionamenti MT; Materiale antideflagrante; Gruppielettrogeni; Apparecchiature Industriali di Manovra BT;Apparecchiature di Interruzione BT; Relè elettrici;Condensatori per reti di energia e per applicazioniindustriali; Cabine elettriche."
"ANIE","ANIE Reti","Associazione di Sottosettore",""
"ANIE","ANIE Rinnovabili","Associazione di Sottosettore","Energie rinnovabili"
"ANIE","ANIE Sicurezza","Associazione di Sottosettore","Sistemi di sicurezza elettronici (antintrusione, antifurto,controllo accessi, televisione a circuito chiuso); Sistemiantincendio; Sistemi di automazione degli edifici;Servizi di sicurezza e gestione edifici."
"ANIE","ANIE SIT - System Integrator Telecomunicazioni","Associazione di Sottosettore","System Integrator Telecomunicazioni"
"ANIE","ANIMP - Associazione di Impiantistica Industriale","Associazione di Sottosettore","General Contractor Industriali"
