"nome","nome_esteso","tipologia","ambito_interesse"
"AIAD","Federazione Aziende Italiane per l'Aerospazio, la Difesa e la Sicurezza","Rappresentanza di Settore","Costruzione mezzi di trasporto"
"CONFINDUSTRIA ACCESSORI MODA","Confindustria Accessori Moda","Rappresentanza di Settore",""
"CONFINDUSTRIA ACCESSORI MODA","AIP - Associazione Italiana Pellicceria","Associazione di Sottosettore",""
"ASSOCALZATURIFICI ITALIANI","Assocalzaturifici Italiani","Associazione di Categoria","Tessile, moda ed accessori"
"ASSOPELLETTIERI","ASSOPELLETTIERI","Associazione di Categoria","Tessile, moda ed accessori"
"UNIC","Unione Nazionale Industria Conciaria","Associazione di Categoria","Tessile, moda ed accessori"
"CONFINDUSTRIA CULTURA ITALIA","Federazione Italiana dell'Industria Culturale","Rappresentanza di Settore","Cultura e spettacolo"
"AFI","Associazione Fonografici Italiani","Associazione di Categoria","Cultura e spettacolo"
"AICC","Associazione Imprese Culturali e Creative","Associazione di Categoria",""
"AIE","Associazione Italiana Editori","Associazione di Categoria","Cultura e spettacolo"
"ANICA","Associazione Nazionale Industrie Cinematografiche, Audiovisive e Digitali","Associazione di Categoria","Cultura e spettacolo"
"APA","APA- Associazione Produttori Audiovisivi","Associazione di Categoria","Cultura e spettacolo"
"CONFINDUSTRIA CULTURA ITALIA","FIMI - Federazione Industria Musicale Italiana","Associazione di Sottosettore",""
"CONFINDUSTRIA CULTURA ITALIA","PMI - Associazione Produttori Musicali Indipendenti","Associazione di Sottosettore",""
"CONFINDUSTRIA CULTURA ITALIA","UNIVIDEO","Associazione di Sottosettore",""
"CONFINDUSTRIA ENERGIA","Federazione tra le Associazioni confederate del Comparto Energia","Rappresentanza di Settore","Energia"
"CONFINDUSTRIA ENERGIA","Federazione tra le Associazioni confederate del Comparto Energia","",""
"CONFINDUSTRIA ENERGIA","ASSOCARBONI - Associazione Generale Operatori Carboni","Associazione di Sottosettore",""
"CONFINDUSTRIA ENERGIA","ASSOGASLIQUIDI -Associazione nazionale imprese gas di petrolio liquefatti","Associazione di Sottosettore",""
"CONFINDUSTRIA ENERGIA","Federazione tra le Associazioni confederate del Comparto Energia","",""
"ELETTRICITA' FUTURA","Elettricità Futura - Unione delle imprese elettriche italiane","Associazione di Categoria","Energia"
"PROXIGAS","Associazione Nazionale Industriali Gas","Associazione di Categoria","Energia"
"UNEM","Unione Energie per la Mobilità","Associazione di Categoria","Energia"
"CONFINDUSTRIA METALLI","Federazione delle Associazioni nazionali industrie sider-metallurgiche","Rappresentanza di Settore",""
"ASSOMET","Associazione Nazionale Industrie Metalli non Ferrosi","Associazione di Categoria","Industrie metallurgiche e fonderie"
"FEDERACCIAI","FEDERACCIAI - Federazione Imprese Siderurgiche Italiane","Associazione di Categoria","Industrie metallurgiche e fonderie"
"FEDERALIMENTARE","Federazione Italiana dell'Industria Alimentare","Rappresentanza di Settore","Alimentare"
"ANCIT","Associazione Nazionale Conservieri Ittici e delle Tonnare","Associazione di Categoria","Alimentare"
"ANICAV","Associazione Nazionale Industriali Conserve Alimentari Vegetali","Associazione di Categoria","Alimentare"
"FEDERALIMENTARE","Federazione Italiana dell'Industria Alimentare","",""
"ASSICA","Associazione Industriali delle Carni e dei Salumi","Associazione di Categoria","Alimentare"
"ASSITOL","Associazione Italiana dell'Industria Olearia - Assitol","Associazione di Categoria","Alimentare"
"ASSOBIBE","Associazione Italiana tra gli Industriali delle Bevande Analcooliche","Associazione di Categoria","Alimentare"
"ASSOBIRRA","Associazione dei Birrai e dei Maltatori","Associazione di Categoria","Alimentare"
"FEDERALIMENTARE","Federazione Italiana dell'Industria Alimentare","",""
"ASSOLATTE","Associazione Italiana Lattiero Casearia","Associazione di Categoria","Alimentare"
"FEDERALIMENTARE","Confida","Associazione di Sottosettore",""
"FEDERPESCA","Federazione Nazionale delle Imprese di Pesca","Associazione di Categoria","Alimentare"
"FEDERVINI","Federazione Italiana Industriali Produttori Esportatori ed Importatori di Vini, Acquaviti, Liquori, Sciroppi, Aceti e Affini","Associazione di Categoria","Alimentare"
"FEDERALIMENTARE","Fiere di Parma","Associazione di Sottosettore",""
"FEDERALIMENTARE","Federazione Italiana dell'Industria Alimentare","",""
"MINERACQUA","Federazione Italiana delle Industrie delle Acque Minerali Naturali e delle Acque di Sorgente","Associazione di Categoria","Alimentare"
"UNIONE ITALIANA FOOD","UNIONE ITALIANA FOOD","Associazione di Categoria",""
"FEDERBETON","Federazione della filiera del cemento, del calcestruzzo, dei materiali di base, dei manufatti, componenti e strutture per le costruzioni, delle applicazioni e delle tecnologie ad essa connesse nell’ambito della filiera sopra indicata","Rappresentanza di Settore",""
"FEDERBETON","ACI Italy Chapter","Associazione di Sottosettore",""
"FEDERBETON","Aicap","Associazione di Sottosettore",""
"FEDERBETON","AITEC","Associazione di Sottosettore",""
"FEDERBETON","Anepla","Associazione di Sottosettore",""
"FEDERBETON","ASSIAD","Associazione di Sottosettore",""
"FEDERBETON","Assobeton","Associazione di Sottosettore",""
"FEDERBETON","Assogesso","Associazione di Sottosettore",""
"FEDERBETON","ASSOPREM","Associazione di Sottosettore",""
"FEDERBETON","ATECAP","Associazione di Sottosettore",""
"FEDERBETON","Ca.Ma.","Associazione di Sottosettore",""
"FEDERBETON","UCoMESA","Associazione di Sottosettore",""
"FEDERBETON","Unicalce","Associazione di Sottosettore",""
"FEDERCOSTRUZIONI","Federazione delle Costruzioni","Rappresentanza di Settore",""
"FEDERMACCHINE","Federazione Nazionale delle Associazioni dei Produttori di Beni Strumentali destinati allo Svolgimento di Processi Manifatturieri dell'Industria e dell'Artigianato","Rappresentanza di Settore","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"ACIMAC","Associazione Costruttori Italiani Macchine, Attrezzature per Ceramica","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"ACIMALL","ACIMALL - Associazione Costruttori Italiani Macchine e Accessori per la Lavorazione del Legno","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"FEDERMACCHINE","Federazione Nazionale delle Associazioni dei Produttori di Beni Strumentali destinati allo Svolgimento di Processi Manifatturieri dell'Industria e dell'Artigianato","",""
"ACIMIT","Associazione Costruttori Italiani di Macchinario per l'Industria Tessile","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"FEDERMACCHINE","AMAFOND","Associazione di Sottosettore",""
"FEDERMACCHINE","Federazione Nazionale delle Associazioni dei Produttori di Beni Strumentali destinati allo Svolgimento di Processi Manifatturieri dell'Industria e dell'Artigianato","",""
"ASSOMAC","Associazione Nazionale Costruttori Tecnologie per Calzature, Pelletteria e Conceria","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"FEDERMACCHINE","Federazione Nazionale delle Associazioni dei Produttori di Beni Strumentali destinati allo Svolgimento di Processi Manifatturieri dell'Industria e dell'Artigianato","",""
"FEDERMACCHINE","FEDERTEC","Associazione di Sottosettore",""
"FEDERMACCHINE","GIMAV","Associazione di Sottosettore",""
"UCIMA","UCIMA - Unione Costruttori Italiani Macchine Automatiche per il Confezionamento e l'Imballaggio","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
